City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
183,bredasdorp,0,ZA,1517954400,88,-34.53,20.04,66.2,3.36
184,mattru,0,SL,1517957637,72,7.62,-11.83,79.29,6.98
185,souillac,90,FR,1517956200,80,45.6,-0.6,33.8,2.24
186,tuatapere,48,NZ,1517957637,100,-46.13,167.69,57.87,8.99
187,copacabana,40,CO,1517954400,64,6.35,-75.51,69.8,9.17
188,surt,0,LY,1517957638,61,31.21,16.59,72.14,18.5
189,venancio aires,0,BR,1517957639,80,-29.61,-52.19,70.74,3.51
190,taksimo,32,RU,1517957639,57,56.36,114.84,-22.01,1.61
191,leningradskiy,44,RU,1517957639,92,69.38,178.42,-3.92,15.03
192,faanui,68,PF,1517957640,100,-16.48,-151.75,81.81,17.6
193,yanai,20,JP,1517954400,63,33.97,132.12,32.0,6.93
194,shingu,0,JP,1517957640,100,33.72,135.99,39.06,20.18
195,quelimane,0,MZ,1517954400,88,-17.88,36.89,78.8,2.24
196,thinadhoo,92,MV,1517957641,100,0.53,72.93,82.26,7.65
197,kaeo,12,NZ,1517957641,53,-35.1,173.78,76.64,10.22
198,palmer,0,AU,1517954400,38,-34.85,139.16,77.0,3.36
199,binzhou,8,CN,1517957642,59,37.38,117.96,15.89,10.0
200,darnah,24,LY,1517957643,97,32.77,22.64,64.4,17.83
201,sinazongwe,44,ZM,1517957643,99,-17.26,27.46,74.39,5.64
202,comodoro rivadavia,20,AR,1517954400,30,-45.87,-67.48,82.4,28.86
203,salinopolis,88,BR,1517957644,100,-0.61,-47.36,77.76,10.45
204,blue springs,90,US,1517957700,67,39.02,-94.28,23.0,8.05
205,pringsewu,36,ID,1517957645,96,-5.36,104.98,71.87,2.06
206,lakes entrance,0,AU,1517957645,75,-37.88,147.99,77.09,4.74
207,georgetown,75,GY,1517954400,83,6.8,-58.16,77.0,11.41
208,las guacamayas,32,MX,1517957646,75,18.02,-102.21,80.37,6.08
209,tallahassee,1,US,1517956500,64,30.44,-84.28,75.2,10.29
210,yar-sale,8,RU,1517957647,83,66.83,70.83,-1.4,16.82
211,zaplavnoye,75,RU,1517954400,80,48.7,45.02,30.2,13.42
212,pevek,36,RU,1517957648,97,69.7,170.27,-5.09,7.65
213,svrljig,0,RS,1517956200,52,43.41,22.12,44.6,18.34
214,la ronge,40,CA,1517954400,64,55.1,-105.3,-2.21,17.22
215,jiuquan,36,CN,1517957649,71,39.73,98.49,-1.26,0.6
216,itarema,92,BR,1517957649,99,-2.92,-39.92,77.04,4.63
217,progreso,0,UY,1517954400,58,-34.68,-56.22,82.4,5.82
218,porto novo,75,BR,1517954400,83,-23.68,-45.44,69.8,6.93
219,pauini,36,BR,1517957650,93,-7.71,-67.0,75.56,5.08
220,benguela,20,AO,1517957650,100,-12.58,13.4,76.37,5.53
221,naze,0,NG,1517957651,55,5.43,7.07,83.21,14.25
222,sukabumi,32,ID,1517957526,95,-6.92,106.93,71.6,3.62
